chain,number_of_1s_baselog10
3,0.0
4,0.0
5,0.301
6,0.0
7,0.301
8,0.301
9,0.4771
10,0.0
11,0.301
12,0.301
13,0.4771
14,0.301
15,0.4771
16,0.4771
17,0.6021
18,0.0
19,0.301
20,0.301
21,0.4771
22,0.301
23,0.4771
24,0.4771
25,0.6021
26,0.301
27,0.4771
28,0.4771
29,0.6021
30,0.4771
31,0.6021
32,0.6021
33,0.699
34,0.0
35,0.301
36,0.301
37,0.4771
38,0.301
39,0.4771
40,0.4771
41,0.6021
42,0.301
43,0.4771
44,0.4771
45,0.6021
46,0.4771
47,0.6021
48,0.6021
49,0.699
50,0.301
51,0.4771
52,0.4771
53,0.6021
54,0.4771
55,0.6021
56,0.6021
57,0.699
58,0.4771
59,0.6021
60,0.6021
61,0.699
62,0.6021
63,0.699
64,0.699
65,0.7782
66,0.0
67,0.301
68,0.301
69,0.4771
70,0.301
71,0.4771
72,0.4771
73,0.6021
74,0.301
75,0.4771
76,0.4771
77,0.6021
78,0.4771
79,0.6021
80,0.6021
81,0.699
82,0.301
83,0.4771
84,0.4771
85,0.6021
86,0.4771
87,0.6021
88,0.6021
89,0.699
90,0.4771
91,0.6021
92,0.6021
93,0.699
94,0.6021
95,0.699
96,0.699
97,0.7782
98,0.301
99,0.4771
100,0.4771
101,0.6021
102,0.4771
103,0.6021
104,0.6021
105,0.699
106,0.4771
107,0.6021
108,0.6021
109,0.699
110,0.6021
111,0.699
112,0.699
113,0.7782
114,0.4771
115,0.6021
116,0.6021
117,0.699
118,0.6021
119,0.699
120,0.699
121,0.7782
122,0.6021
123,0.699
124,0.699
125,0.7782
126,0.699
127,0.7782
128,0.7782
129,0.8451
130,0.0
131,0.301
132,0.301
133,0.4771
134,0.301
135,0.4771
136,0.4771
137,0.6021
138,0.301
139,0.4771
140,0.4771
141,0.6021
142,0.4771
143,0.6021
144,0.6021
145,0.699
146,0.301
147,0.4771
148,0.4771
149,0.6021
150,0.4771
151,0.6021
152,0.6021
153,0.699
154,0.4771
155,0.6021
156,0.6021
157,0.699
158,0.6021
159,0.699
160,0.699
161,0.7782
162,0.301
163,0.4771
164,0.4771
165,0.6021
166,0.4771
167,0.6021
168,0.6021
169,0.699
170,0.4771
171,0.6021
172,0.6021
173,0.699
174,0.6021
175,0.699
176,0.699
177,0.7782
178,0.4771
179,0.6021
180,0.6021
181,0.699
182,0.6021
183,0.699
184,0.699
185,0.7782
186,0.6021
187,0.699
188,0.699
189,0.7782
190,0.699
191,0.7782
192,0.7782
193,0.8451
194,0.301
195,0.4771
196,0.4771
197,0.6021
198,0.4771
199,0.6021
200,0.6021
201,0.699
202,0.4771
203,0.6021
204,0.6021
205,0.699
206,0.6021
207,0.699
208,0.699
209,0.7782
210,0.4771
211,0.6021
212,0.6021
213,0.699
214,0.6021
215,0.699
216,0.699
217,0.7782
218,0.6021
219,0.699
220,0.699
221,0.7782
222,0.699
223,0.7782
224,0.7782
225,0.8451
226,0.4771
227,0.6021
228,0.6021
229,0.699
230,0.6021
231,0.699
232,0.699
233,0.7782
234,0.6021
235,0.699
236,0.699
237,0.7782
238,0.699
239,0.7782
240,0.7782
241,0.8451
242,0.6021
243,0.699
244,0.699
245,0.7782
246,0.699
247,0.7782
248,0.7782
249,0.8451
250,0.699
251,0.7782
252,0.7782
253,0.8451
254,0.7782
255,0.8451
256,0.8451
257,0.9031
258,0.0
259,0.301
260,0.301
261,0.4771
262,0.301
263,0.4771
264,0.4771
265,0.6021
266,0.301
267,0.4771
268,0.4771
269,0.6021
270,0.4771
271,0.6021
272,0.6021
273,0.699
274,0.301
275,0.4771
276,0.4771
277,0.6021
278,0.4771
279,0.6021
280,0.6021
281,0.699
282,0.4771
283,0.6021
284,0.6021
285,0.699
286,0.6021
287,0.699
288,0.699
289,0.7782
290,0.301
291,0.4771
292,0.4771
293,0.6021
294,0.4771
295,0.6021
296,0.6021
297,0.699
298,0.4771
299,0.6021
300,0.6021
301,0.699
302,0.6021
303,0.699
304,0.699
305,0.7782
306,0.4771
307,0.6021
308,0.6021
309,0.699
310,0.6021
311,0.699
312,0.699
313,0.7782
314,0.6021
315,0.699
316,0.699
317,0.7782
318,0.699
319,0.7782
320,0.7782
321,0.8451
322,0.301
323,0.4771
324,0.4771
325,0.6021
326,0.4771
327,0.6021
328,0.6021
329,0.699
330,0.4771
331,0.6021
332,0.6021
333,0.699
334,0.6021
335,0.699
336,0.699
337,0.7782
338,0.4771
339,0.6021
340,0.6021
341,0.699
342,0.6021
343,0.699
344,0.699
345,0.7782
346,0.6021
347,0.699
348,0.699
349,0.7782
350,0.699
351,0.7782
352,0.7782
353,0.8451
354,0.4771
355,0.6021
356,0.6021
357,0.699
358,0.6021
359,0.699
360,0.699
361,0.7782
362,0.6021
363,0.699
364,0.699
365,0.7782
366,0.699
367,0.7782
368,0.7782
369,0.8451
370,0.6021
371,0.699
372,0.699
373,0.7782
374,0.699
375,0.7782
376,0.7782
377,0.8451
378,0.699
379,0.7782
380,0.7782
381,0.8451
382,0.7782
383,0.8451
384,0.8451
385,0.9031
386,0.301
387,0.4771
388,0.4771
389,0.6021
390,0.4771
391,0.6021
392,0.6021
393,0.699
394,0.4771
395,0.6021
396,0.6021
397,0.699
398,0.6021
399,0.699
400,0.699
401,0.7782
402,0.4771
403,0.6021
404,0.6021
405,0.699
406,0.6021
407,0.699
408,0.699
409,0.7782
410,0.6021
411,0.699
412,0.699
413,0.7782
414,0.699
415,0.7782
416,0.7782
417,0.8451
418,0.4771
419,0.6021
420,0.6021
421,0.699
422,0.6021
423,0.699
424,0.699
425,0.7782
426,0.6021
427,0.699
428,0.699
429,0.7782
430,0.699
431,0.7782
432,0.7782
433,0.8451
434,0.6021
435,0.699
436,0.699
437,0.7782
438,0.699
439,0.7782
440,0.7782
441,0.8451
442,0.699
443,0.7782
444,0.7782
445,0.8451
446,0.7782
447,0.8451
448,0.8451
449,0.9031
450,0.4771
451,0.6021
452,0.6021
453,0.699
454,0.6021
455,0.699
456,0.699
457,0.7782
458,0.6021
459,0.699
460,0.699
461,0.7782
462,0.699
463,0.7782
464,0.7782
465,0.8451
